epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,86.785,1.8825,1.10003,0.97774,0.07999,0.07484,0.01353,0.0026,4.52084,2.19558,1.84521,0.0015842,0.0015842,0.0015842
44,88.7002,1.94296,1.13326,0.99358,0.73029,0.64125,0.59202,0.23274,2.05511,1.17141,1.0077,0.0015743,0.0015743,0.0015743
45,90.713,1.89426,1.11846,0.97536,0.64564,0.57309,0.49413,0.1195,2.87268,1.28442,1.17029,0.0015644,0.0015644,0.0015644
46,92.5474,1.83339,1.11649,0.98032,0.67816,0.63563,0.5471,0.15148,2.67568,1.27675,1.1261,0.0015545,0.0015545,0.0015545
47,94.4046,1.89751,1.13735,0.98837,0.61979,0.52465,0.45417,0.12196,2.82934,1.29624,1.16066,0.0015446,0.0015446,0.0015446
48,96.273,1.93612,1.15743,0.992,0.70097,0.66163,0.57989,0.19772,2.34183,1.26496,1.05788,0.0015347,0.0015347,0.0015347
49,98.1494,1.88318,1.09076,0.97504,0.57414,0.52495,0.39062,0.08025,3.08714,1.4188,1.22181,0.0015248,0.0015248,0.0015248
50,100.117,1.94427,1.11191,0.99521,0.67802,0.57484,0.51862,0.15732,2.46396,1.30323,1.09785,0.0015149,0.0015149,0.0015149
51,101.951,1.83261,1.11012,0.98105,0.39922,0.33739,0.2058,0.038,3.60143,1.55474,1.41069,0.001505,0.001505,0.001505
52,103.857,1.88582,1.08245,0.97507,0.69976,0.62403,0.56535,0.17306,2.46453,1.25007,1.07886,0.0014951,0.0014951,0.0014951
53,105.706,1.91663,1.11415,0.97881,0.51533,0.42691,0.30177,0.05609,3.39622,1.34133,1.30194,0.0014852,0.0014852,0.0014852
