epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,39.1917,1.87266,1.11815,0.99008,0.75738,0.67256,0.64622,0.23764,2.35046,1.19871,1.05022,0.0011882,0.0011882,0.0011882
43,40.0814,1.90617,1.11977,0.99178,0.76007,0.67661,0.65427,0.2778,1.93602,1.19072,0.97594,0.0011684,0.0011684,0.0011684
44,40.9976,1.8962,1.13057,0.98207,0.62207,0.61985,0.5057,0.12001,2.84305,1.42741,1.14129,0.0011486,0.0011486,0.0011486
45,41.9024,1.96645,1.15575,0.98956,0.76788,0.67238,0.65679,0.30425,1.75919,1.16288,0.95351,0.0011288,0.0011288,0.0011288
46,42.8091,1.92636,1.11128,0.99524,0.76453,0.65858,0.64458,0.24723,2.13376,1.17082,1.01025,0.001109,0.001109,0.001109
47,43.7609,1.86317,1.11703,0.9866,0.7584,0.69731,0.66646,0.29256,1.94673,1.17198,0.98385,0.0010892,0.0010892,0.0010892
48,44.6695,1.89309,1.10254,0.98335,0.72536,0.67928,0.62647,0.20712,2.34162,1.31197,1.04148,0.0010694,0.0010694,0.0010694
49,45.5865,1.86174,1.10147,0.97802,0.73804,0.66882,0.63536,0.21798,2.47459,1.21776,1.07289,0.0010496,0.0010496,0.0010496
50,46.4982,1.91802,1.11117,0.98011,0.72946,0.67616,0.64175,0.23255,2.1864,1.25942,1.01626,0.0010298,0.0010298,0.0010298
51,47.3994,1.85646,1.10477,0.98667,0.71888,0.65992,0.62312,0.19697,2.52691,1.27112,1.07793,0.00101,0.00101,0.00101
52,48.3198,1.85772,1.12469,0.97201,0.76703,0.69553,0.67348,0.30425,1.79908,1.15209,0.96266,0.0009902,0.0009902,0.0009902
53,49.2522,1.8389,1.15146,0.96686,0.73711,0.68239,0.63643,0.22861,2.35199,1.2336,1.0502,0.0009704,0.0009704,0.0009704
54,50.1325,1.86113,1.13592,0.97397,0.76223,0.69496,0.66406,0.2954,1.83021,1.16762,0.96563,0.0009506,0.0009506,0.0009506
55,51.0416,1.86689,1.12509,0.98653,0.66399,0.60272,0.53871,0.11354,3.07488,1.44995,1.20812,0.0009308,0.0009308,0.0009308
56,51.9634,1.93053,1.11066,0.98724,0.78315,0.69046,0.68032,0.31927,1.74754,1.14538,0.95311,0.000911,0.000911,0.000911
57,52.9139,1.91053,1.13364,0.98626,0.73285,0.66771,0.62999,0.20732,2.41939,1.24589,1.05801,0.0008912,0.0008912,0.0008912
58,53.8234,1.86758,1.12235,0.97084,0.74878,0.68992,0.65425,0.239,2.26255,1.21479,1.02534,0.0008714,0.0008714,0.0008714
59,54.7224,1.81205,1.09259,0.97518,0.73264,0.6776,0.62679,0.19298,2.63963,1.24092,1.09959,0.0008516,0.0008516,0.0008516
60,55.6456,1.82018,1.09093,0.973,0.72475,0.68351,0.6338,0.21686,2.40002,1.33134,1.05524,0.0008318,0.0008318,0.0008318
61,56.5445,1.87976,1.11259,0.98289,0.75288,0.69286,0.65504,0.26033,2.10123,1.17961,1.00154,0.000812,0.000812,0.000812
