epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,85.4866,1.90267,1.11275,1.75842,0.55756,0.4877,0.37864,0.1146,2.67226,1.3485,2.0836,0.00158425,0.00158425,0.00158425
44,87.326,1.95949,1.13485,1.78761,0.71707,0.62694,0.57782,0.19807,2.28943,1.23892,1.88005,0.00157436,0.00157436,0.00157436
45,89.3097,1.91673,1.1299,1.7549,0.69865,0.60608,0.54339,0.16397,2.61262,1.23873,2.01485,0.00156446,0.00156446,0.00156446
46,91.1798,1.83202,1.13108,1.7528,0.60763,0.55868,0.44315,0.10393,2.9024,1.38447,2.09993,0.00155456,0.00155456,0.00155456
47,93.0021,1.89806,1.13634,1.7724,0.74619,0.65812,0.62592,0.28164,1.81093,1.13792,1.73653,0.00154466,0.00154466,0.00154466
48,94.9205,1.99948,1.16792,1.80492,0.44336,0.43605,0.26895,0.0397,3.4907,1.50431,2.39754,0.00153476,0.00153476,0.00153476
49,96.9151,1.90654,1.12309,1.74986,0.56039,0.55049,0.41943,0.10102,2.95138,1.47362,2.14679,0.00152486,0.00152486,0.00152486
50,98.744,1.87672,1.10521,1.76569,0.67061,0.61209,0.54188,0.15485,2.5792,1.31316,1.98898,0.00151496,0.00151496,0.00151496
51,100.621,1.82137,1.11736,1.75537,0.34009,0.5397,0.2336,0.05199,nan,nan,nan,0.00150507,0.00150507,0.00150507
52,102.501,1.85221,1.10048,1.7292,0.70481,0.6402,0.58546,0.22559,2.103,nan,1.82307,0.00149517,0.00149517,0.00149517
53,104.383,1.93248,1.12267,1.75817,0.28584,0.25861,0.12014,0.01853,3.82169,1.46673,2.62165,0.00148527,0.00148527,0.00148527
54,106.354,1.9427,1.16113,1.76593,0.74333,0.65706,0.62053,0.26286,1.93013,1.18274,1.7749,0.00147537,0.00147537,0.00147537
55,108.236,1.85977,1.1217,1.76069,0.65118,0.5628,0.4918,0.116,2.86069,1.27057,2.06911,0.00146547,0.00146547,0.00146547
56,110.113,1.84441,1.10727,1.74564,0.67108,0.59071,0.51932,0.15023,2.58677,1.24413,1.99542,0.00145557,0.00145557,0.00145557
57,111.98,1.91356,1.14284,1.76244,0.72601,0.64195,0.60248,0.24072,2.09908,1.1892,1.83561,0.00144567,0.00144567,0.00144567
58,113.976,1.82752,1.15698,1.76224,0.72077,0.61806,0.58561,0.21197,2.23773,1.20696,1.85337,0.00143577,0.00143577,0.00143577
59,115.908,1.85335,1.10602,1.74655,0.71504,0.63457,0.57604,0.18426,2.47803,1.20788,1.93929,0.00142588,0.00142588,0.00142588
60,117.794,1.8066,1.09702,1.7409,0.61534,0.55025,0.45416,0.11932,2.82667,1.39658,2.09167,0.00141598,0.00141598,0.00141598
61,119.633,1.82507,1.09842,1.75498,0.68918,0.59445,0.53918,0.16397,2.59099,1.25279,1.9791,0.00140608,0.00140608,0.00140608
62,121.628,1.90718,1.13231,1.78272,0.28529,0.29375,0.13245,0.0202,3.78963,1.8433,2.66177,0.00139618,0.00139618,0.00139618
