epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,88.074,1.85214,1.08343,0.97693,0.74148,0.67474,0.63223,0.20821,2.44186,1.19203,1.06042,0.0011882,0.0011882,0.0011882
43,90.1762,1.79536,1.05689,0.96728,0.67055,0.63966,0.55204,0.13594,2.82381,1.294,1.14552,0.0011684,0.0011684,0.0011684
44,92.2632,1.78133,1.09208,0.97613,0.69536,0.64634,0.58102,0.15067,2.76887,1.24309,1.13617,0.0011486,0.0011486,0.0011486
45,94.3607,1.80131,1.07104,0.97313,0.56779,0.47874,0.37792,0.07443,3.39169,1.40124,1.30023,0.0011288,0.0011288,0.0011288
46,96.3577,1.76952,1.05548,0.9691,0.75281,0.69747,0.65081,0.22639,2.34873,1.14923,1.04988,0.001109,0.001109,0.001109
47,98.3555,1.80784,1.08108,0.96681,0.76642,0.70619,0.67438,0.25616,2.17241,1.13388,1.0193,0.0010892,0.0010892,0.0010892
48,100.369,1.79621,1.06745,0.9602,0.73348,0.69308,0.64568,0.21239,2.46432,1.2182,1.0644,0.0010694,0.0010694,0.0010694
49,102.39,1.76496,1.05937,0.96694,0.74743,0.68774,0.65906,0.23391,2.41723,1.1551,1.05714,0.0010496,0.0010496,0.0010496
50,104.389,1.78128,1.10049,0.95826,0.74967,0.69788,0.65383,0.228,2.31713,1.14416,1.04259,0.0010298,0.0010298,0.0010298
51,106.44,1.76292,1.0585,0.97201,0.74002,0.6836,0.64005,0.19408,2.53206,1.1725,1.08145,0.00101,0.00101,0.00101
52,108.418,1.77715,1.10417,0.96464,0.73816,0.69174,0.646,0.21955,2.34128,1.20903,1.03837,0.0009902,0.0009902,0.0009902
53,110.447,1.75296,1.0789,0.95907,0.72835,0.68774,0.62654,0.17739,2.65772,1.21582,1.10649,0.0009704,0.0009704,0.0009704
54,112.442,1.74435,1.06063,0.94914,0.72102,0.66325,0.62414,0.16155,2.82626,1.22498,1.13962,0.0009506,0.0009506,0.0009506
55,114.464,1.7464,1.04491,0.95744,0.70777,0.64957,0.59816,0.14482,2.95832,1.24905,1.17157,0.0009308,0.0009308,0.0009308
56,116.525,1.71671,1.05486,0.95493,0.74328,0.68243,0.6473,0.22239,2.3893,1.16029,1.05409,0.000911,0.000911,0.000911
57,118.514,1.71725,1.07067,0.95659,0.72686,0.68349,0.62273,0.17076,2.76711,1.17917,1.13229,0.0008912,0.0008912,0.0008912
58,120.683,1.7155,1.03179,0.95311,0.72889,0.69953,0.62808,0.18317,2.63512,1.17118,1.10445,0.0008714,0.0008714,0.0008714
59,122.662,1.71088,1.04554,0.9582,0.75978,0.71623,0.67275,0.2596,2.1787,1.10567,1.01442,0.0008516,0.0008516,0.0008516
60,124.688,1.70478,1.05046,0.95564,0.77331,0.71749,0.68964,0.29136,2.02362,1.09563,0.98872,0.0008318,0.0008318,0.0008318
61,126.801,1.71289,1.04964,0.95316,0.76467,0.7319,0.68298,0.26739,2.14855,1.10352,1.00706,0.000812,0.000812,0.000812
62,128.806,1.72152,1.05935,0.94964,0.74983,0.70109,0.65674,0.20874,2.56351,1.14388,1.08644,0.0007922,0.0007922,0.0007922
63,130.831,1.66527,1.01896,0.94409,0.77156,0.72758,0.68036,0.26163,2.21515,1.10506,1.02114,0.0007724,0.0007724,0.0007724
64,132.893,1.69143,1.04138,0.94851,0.75387,0.6892,0.65725,0.20796,2.58554,1.13712,1.09106,0.0007526,0.0007526,0.0007526
65,134.934,1.6934,1.01038,0.94148,0.7713,0.73359,0.69734,0.30111,1.9479,1.09463,0.97383,0.0007328,0.0007328,0.0007328
66,137.015,1.69827,1.02011,0.95484,0.77208,0.71823,0.68404,0.27664,2.11783,1.08946,1.00074,0.000713,0.000713,0.000713
67,139.047,1.70136,1.05044,0.94566,0.77523,0.72624,0.69564,0.30025,1.9685,1.0759,0.97819,0.0006932,0.0006932,0.0006932
68,141.098,1.69839,1.36663,0.95627,0.76804,0.71734,0.67277,0.25244,2.2624,1.12389,1.02909,0.0006734,0.0006734,0.0006734
69,143.157,1.70147,1.07359,0.94932,0.77766,0.72557,0.68468,0.28292,2.10345,1.08353,1.00041,0.0006536,0.0006536,0.0006536
70,145.2,1.70597,1.01633,0.95511,0.77078,0.72535,0.69082,0.29112,2.0239,1.06823,0.98715,0.0006338,0.0006338,0.0006338
71,147.283,1.68991,1.02891,0.95599,0.77027,0.71667,0.68094,0.2791,2.0931,1.12448,0.99354,0.000614,0.000614,0.000614
72,149.399,1.694,1.04873,0.94038,0.76724,0.7327,0.6802,0.26861,2.16266,1.0941,1.0082,0.0005942,0.0005942,0.0005942
73,151.486,1.6742,1.00792,0.94881,0.76714,0.72736,0.6845,0.26873,2.18802,1.08203,1.01642,0.0005744,0.0005744,0.0005744
74,153.56,1.65567,1.02767,0.94728,0.75246,0.69955,0.65925,0.1974,2.6382,1.14809,1.09596,0.0005546,0.0005546,0.0005546
75,155.635,1.69183,1.03769,0.94656,0.75252,0.70721,0.6581,0.21093,2.5562,1.13415,1.08201,0.0005348,0.0005348,0.0005348
76,157.713,1.63495,1.0038,0.93839,0.75991,0.71923,0.67302,0.23478,2.42493,1.11576,1.05894,0.000515,0.000515,0.000515
77,159.787,1.66248,1.02083,0.9475,0.76349,0.70554,0.67602,0.24607,2.37429,1.12579,1.04415,0.0004952,0.0004952,0.0004952
78,161.844,1.63047,1.00813,0.93469,0.77517,0.73205,0.69679,0.30581,1.99457,1.0763,0.98131,0.0004754,0.0004754,0.0004754
79,164.023,1.6594,1.0427,0.94333,0.77567,0.7134,0.68458,0.27129,2.23275,1.08329,1.02001,0.0004556,0.0004556,0.0004556
80,166.116,1.63283,1.01723,0.93587,0.77272,0.7189,0.67631,0.25677,2.26696,1.10927,1.02442,0.0004358,0.0004358,0.0004358
81,168.168,1.65485,0.99837,0.93371,0.75275,0.71867,0.66172,0.21783,2.52761,1.14829,1.07718,0.000416,0.000416,0.000416
82,170.351,1.63751,0.99633,0.93001,0.77597,0.71618,0.68363,0.25861,2.3127,1.09042,1.03149,0.0003962,0.0003962,0.0003962
83,172.405,1.62841,0.98943,0.94268,0.76463,0.72159,0.67755,0.24135,2.4321,1.10979,1.05712,0.0003764,0.0003764,0.0003764
84,174.455,1.63748,0.99416,0.93334,0.77008,0.72201,0.68456,0.25523,2.31956,1.0839,1.03673,0.0003566,0.0003566,0.0003566
85,176.479,1.65345,0.98898,0.93814,0.77452,0.72937,0.69956,0.30386,1.98001,1.05379,0.97787,0.0003368,0.0003368,0.0003368
86,178.494,1.64484,0.98414,0.94373,0.77484,0.72357,0.69026,0.2743,2.1895,1.07092,1.01248,0.000317,0.000317,0.000317
87,180.528,1.64501,1.00479,0.94529,0.77136,0.70999,0.67941,0.24403,2.4278,1.10012,1.05547,0.0002972,0.0002972,0.0002972
88,182.562,1.6243,0.98725,0.93291,0.77327,0.71867,0.68833,0.27723,2.18821,1.07338,1.00893,0.0002774,0.0002774,0.0002774
89,184.62,1.62032,0.99707,0.93506,0.77448,0.72045,0.68306,0.25849,2.31213,1.08245,1.03215,0.0002576,0.0002576,0.0002576
90,186.683,1.56115,1.59127,0.90938,0.77098,0.72528,0.68064,0.25579,2.31666,1.08858,1.03289,0.0002378,0.0002378,0.0002378
91,189.272,1.6278,1.77284,0.95255,0.76965,0.72535,0.68776,0.26607,2.28716,1.08388,1.0348,0.000218,0.000218,0.000218
92,191.377,1.59316,0.99012,0.94467,0.7796,0.72195,0.69102,0.27218,2.26127,1.08086,1.03268,0.0001982,0.0001982,0.0001982
93,193.439,1.60026,1.10984,0.94853,0.78213,0.72867,0.69281,0.28178,2.18955,1.07116,1.01801,0.0001784,0.0001784,0.0001784
94,195.47,1.57185,0.99188,0.93969,0.77529,0.73413,0.69068,0.26651,2.26409,1.08664,1.03066,0.0001586,0.0001586,0.0001586
95,197.509,1.54078,0.97799,0.94495,0.77672,0.72869,0.68645,0.25045,2.387,1.09101,1.05361,0.0001388,0.0001388,0.0001388
96,199.542,1.54623,1.03054,0.94449,0.7773,0.73114,0.68829,0.27014,2.25292,1.0758,1.0269,0.000119,0.000119,0.000119
97,201.585,1.55138,0.97355,0.94043,0.77636,0.73937,0.69171,0.27206,2.26159,1.07682,1.02811,9.92e-05,9.92e-05,9.92e-05
98,203.623,1.54578,0.99377,0.93568,0.78004,0.7356,0.69131,0.27546,2.23444,1.06349,1.0234,7.94e-05,7.94e-05,7.94e-05
99,205.677,1.54599,1.03762,0.93881,0.78309,0.732,0.69208,0.27443,2.2365,1.06175,1.02185,5.96e-05,5.96e-05,5.96e-05
100,207.742,1.52557,0.98939,0.94097,0.78612,0.7289,0.69484,0.27692,2.23333,1.0616,1.02147,3.98e-05,3.98e-05,3.98e-05
