epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,44.8783,1.8013,1.07287,0.97525,0.74006,0.67676,0.63844,0.22117,2.51837,1.18352,1.082,0.0011882,0.0011882,0.0011882
43,45.9393,1.84882,1.08703,0.98072,0.77087,0.71734,0.67665,0.29883,1.89013,1.17467,0.96378,0.0011684,0.0011684,0.0011684
44,47.0236,1.83651,1.08221,0.9685,0.69569,0.68039,0.59048,0.17704,2.60884,1.28062,1.09492,0.0011486,0.0011486,0.0011486
45,48.0464,1.87977,1.09981,0.97416,0.78252,0.71111,0.67725,0.3024,1.88431,1.12373,0.96901,0.0011288,0.0011288,0.0011288
46,49.1164,1.81471,1.0679,0.97497,0.7479,0.6884,0.65212,0.24177,2.23151,1.18374,1.02523,0.001109,0.001109,0.001109
47,50.1876,1.78564,1.06658,0.96731,0.74773,0.69931,0.65875,0.24453,2.29185,1.18004,1.03815,0.0010892,0.0010892,0.0010892
48,51.219,1.77134,1.06446,0.96117,0.65404,0.63833,0.54123,0.12576,2.92752,1.32578,1.16542,0.0010694,0.0010694,0.0010694
49,52.2722,1.76734,1.03538,0.9643,0.7471,0.70265,0.66461,0.23984,2.43738,1.17464,1.07001,0.0010496,0.0010496,0.0010496
50,53.318,1.78021,1.06781,0.95578,0.73481,0.69197,0.63987,0.20389,2.5078,1.19499,1.07003,0.0010298,0.0010298,0.0010298
51,54.3556,1.77495,1.04877,0.96965,0.73601,0.70265,0.65062,0.22242,2.37732,1.21681,1.04161,0.00101,0.00101,0.00101
52,55.3886,1.7712,1.07726,0.95596,0.74205,0.68444,0.65085,0.2442,2.28415,1.18292,1.03032,0.0009902,0.0009902,0.0009902
53,56.4472,1.76023,1.07713,0.95206,0.72273,0.68751,0.62698,0.19555,2.62813,1.24209,1.09931,0.0009704,0.0009704,0.0009704
54,57.4987,1.7899,1.07853,0.96097,0.75385,0.71912,0.66735,0.25465,2.24677,1.17352,1.02797,0.0009506,0.0009506,0.0009506
55,58.5501,1.8153,1.07988,0.97389,0.54998,0.51769,0.38706,0.06409,3.39444,1.44425,1.29054,0.0009308,0.0009308,0.0009308
56,59.5806,1.85205,1.05905,0.9708,0.76678,0.72468,0.68824,0.30298,1.92927,1.11215,0.97729,0.000911,0.000911,0.000911
57,60.6611,1.82654,1.07541,0.97151,0.74713,0.69864,0.66065,0.24001,2.24592,1.16497,1.02423,0.0008912,0.0008912,0.0008912
58,61.7025,1.79877,1.06846,0.95661,0.77171,0.71912,0.67936,0.29061,2.00661,1.10633,0.98543,0.0008714,0.0008714,0.0008714
59,62.7396,1.72918,1.0334,0.96063,0.76543,0.71801,0.66344,0.2524,2.27788,1.13976,1.02295,0.0008516,0.0008516,0.0008516
60,63.7872,1.71768,1.05426,0.95578,0.75883,0.71801,0.66795,0.25555,2.17763,1.16325,1.00904,0.0008318,0.0008318,0.0008318
61,64.8563,1.72945,1.0574,0.95743,0.75533,0.70131,0.65954,0.23336,2.30301,1.14312,1.03645,0.000812,0.000812,0.000812
62,65.8944,1.72726,1.04153,0.95529,0.73637,0.71378,0.64918,0.21284,2.55213,1.16948,1.0855,0.0007922,0.0007922,0.0007922
63,66.9452,1.73497,1.06379,0.95125,0.75522,0.70755,0.66039,0.24457,2.35307,1.14105,1.04501,0.0007724,0.0007724,0.0007724
64,67.9998,1.71683,1.06456,0.95613,0.72375,0.68808,0.61445,0.16454,2.84235,1.23382,1.13975,0.0007526,0.0007526,0.0007526
65,69.0615,1.71197,1.06514,0.94357,0.74838,0.71355,0.65236,0.22794,2.4199,1.17216,1.05484,0.0007328,0.0007328,0.0007328
66,70.1224,1.69324,1.04376,0.94293,0.75866,0.72112,0.6722,0.25725,2.23616,1.13317,1.02481,0.000713,0.000713,0.000713
67,71.1347,1.73198,1.05554,0.95062,0.73373,0.71222,0.6498,0.21288,2.49167,1.22561,1.06491,0.0006932,0.0006932,0.0006932
68,72.2634,1.69306,1.05164,0.94157,0.74665,0.68106,0.63779,0.20143,2.57422,1.17435,1.08261,0.0006734,0.0006734,0.0006734
69,73.3179,1.70477,1.0494,0.95446,0.74723,0.70243,0.6428,0.20271,2.60977,1.17525,1.09531,0.0006536,0.0006536,0.0006536
70,74.3556,1.70128,1.04225,0.94621,0.7514,0.71422,0.6637,0.24228,2.32231,1.15264,1.0344,0.0006338,0.0006338,0.0006338
71,75.4356,1.71959,1.03331,0.94753,0.74989,0.70844,0.65833,0.2242,2.4616,1.18325,1.07115,0.000614,0.000614,0.000614
72,76.5013,1.72284,1.03774,0.94376,0.77649,0.71912,0.68739,0.287,2.03642,1.11774,0.98544,0.0005942,0.0005942,0.0005942
73,77.5378,1.68273,1.01147,0.94051,0.77785,0.72869,0.68657,0.27919,2.10166,1.08603,0.99781,0.0005744,0.0005744,0.0005744
74,78.6112,1.69407,1.03395,0.94897,0.74282,0.70778,0.6488,0.20623,2.58168,1.14958,1.09214,0.0005546,0.0005546,0.0005546
75,79.6666,1.7036,1.05905,0.94375,0.77753,0.71667,0.68065,0.28058,2.04952,1.10357,0.98802,0.0005348,0.0005348,0.0005348
76,80.7405,1.69866,1.07162,0.94136,0.7657,0.72179,0.67213,0.26963,2.13446,1.10476,1.00294,0.000515,0.000515,0.000515
77,81.8115,1.679,1.00845,0.94524,0.76535,0.72157,0.67526,0.26871,2.17443,1.09339,1.00754,0.0004952,0.0004952,0.0004952
78,82.8567,1.69874,1.02611,0.94372,0.76059,0.73255,0.67051,0.25465,2.24899,1.15438,1.02405,0.0004754,0.0004754,0.0004754
79,83.9062,1.69922,1.05809,0.94441,0.75057,0.71662,0.6578,0.23374,2.44203,1.14813,1.06245,0.0004556,0.0004556,0.0004556
80,84.9507,1.72143,1.03587,0.94549,0.76139,0.7229,0.66866,0.257,2.24328,1.12744,1.02144,0.0004358,0.0004358,0.0004358
81,85.9984,1.68597,1.03211,0.94253,0.77014,0.73227,0.68133,0.2836,2.06909,1.10395,0.99023,0.000416,0.000416,0.000416
82,87.0527,1.70643,1.04578,0.94405,0.76009,0.72468,0.66781,0.24374,2.3322,1.12767,1.0377,0.0003962,0.0003962,0.0003962
83,88.102,1.6613,1.01527,0.93907,0.7681,0.7298,0.67748,0.2709,2.15874,1.11711,1.00662,0.0003764,0.0003764,0.0003764
84,89.173,1.69782,1.01416,0.93798,0.7383,0.71015,0.64511,0.2068,2.56627,1.1733,1.08004,0.0003566,0.0003566,0.0003566
85,90.2033,1.68208,1.01404,0.94571,0.75523,0.72669,0.66632,0.25102,2.2874,1.12041,1.03086,0.0003368,0.0003368,0.0003368
86,91.2466,1.67542,1.00276,0.94699,0.77071,0.72713,0.68481,0.29371,1.99613,1.08003,0.98112,0.000317,0.000317,0.000317
87,92.3249,1.66346,1.0181,0.94154,0.75707,0.70334,0.65575,0.2323,2.41713,1.13233,1.05209,0.0002972,0.0002972,0.0002972
88,93.402,1.6917,1.03948,0.94706,0.76199,0.72609,0.67187,0.26538,2.23233,1.09625,1.02025,0.0002774,0.0002774,0.0002774
89,94.4542,1.64661,1.01366,0.93166,0.76316,0.72312,0.67033,0.2538,2.29061,1.10298,1.03092,0.0002576,0.0002576,0.0002576
90,95.5034,1.64063,1.01224,0.93894,0.76994,0.7298,0.67733,0.27217,2.16321,1.085,1.00917,0.0002378,0.0002378,0.0002378
91,97.1004,1.66446,1.04958,0.95638,0.78668,0.72723,0.69674,0.31364,1.90543,1.06897,0.96895,0.000218,0.000218,0.000218
92,98.2088,1.66329,1.00838,0.95038,0.76034,0.72335,0.67738,0.25302,2.3362,1.10534,1.04709,0.0001982,0.0001982,0.0001982
93,99.2407,1.64839,1.02357,0.95167,0.78153,0.72913,0.69722,0.32109,1.8433,1.07504,0.95754,0.0001784,0.0001784,0.0001784
94,100.306,1.63558,1.01478,0.94764,0.76046,0.72268,0.67421,0.25306,2.34266,1.11297,1.04443,0.0001586,0.0001586,0.0001586
95,101.354,1.58264,1.02125,0.94631,0.77683,0.73025,0.693,0.30621,1.97685,1.07,0.97917,0.0001388,0.0001388,0.0001388
96,102.392,1.63382,1.0072,0.9593,0.74996,0.71028,0.6554,0.20628,2.63775,1.14897,1.10949,0.000119,0.000119,0.000119
97,103.439,1.59491,0.9939,0.94571,0.77081,0.72557,0.68381,0.27318,2.21603,1.09265,1.02228,9.92e-05,9.92e-05,9.92e-05
98,104.475,1.58778,1.00402,0.95118,0.76816,0.72636,0.68411,0.26731,2.2594,1.09399,1.03173,7.94e-05,7.94e-05,7.94e-05
99,105.529,1.60106,1.02204,0.94821,0.76213,0.72381,0.67546,0.24495,2.39401,1.11456,1.05564,5.96e-05,5.96e-05,5.96e-05
100,106.559,1.57457,1.00981,0.94542,0.76908,0.73013,0.6855,0.27275,2.21615,1.10213,1.01997,3.98e-05,3.98e-05,3.98e-05
